"Nr.";"Anrede";"Titel";"Vorname";"Nachname";"Geburtsdatum";"Straße";"Hausnummer";"Postleitzahl";"Stadt";"Telefon";"Mobil";"Telefax";"EMail";"Newsletter";"Eintragsdatum"
"913";"Frau";"";"Ilsegard";"Steindl";"";"Frenkstraße";"3";"91710";"Gunzenhausen am Altmühlsee";"09831/59011768";"0170/6064999";"";"ilsegard1929@open-mail.none";"";"14.08.1933"
"914";"Herr";"";"Norfried";"Rothenberger";"";"Fritz-Husemann-Straße";"85";"54649";"Waxweiler";"06554/21582841";"0173/2485541";"";"norfried.rothenberger@goggle-mail.none";"";"11.09.1947"
"915";"Frau";"";"Annkathrin";"Bechmann";"";"Härtlinger Straße";"184";"30559";"Hannover";"0511/10808120";"0159/7128367";"";"annkathrin-bechmann@mymail.none";"ja";"10.12.1998"
"916";"k.A.";"";"Eberhardt";"Pfuhl";"";"Siedlerweg";"73";"58636";"Iserlohn";"";"0151/9566681";"02371/15057830";"eberhardt.pfuhl@open-mail.none";"ja";"11.03.2002"
"917";"k.A.";"";"Siegrid";"Steinmetz";"";"Johannes-Biggemann-Straße";"16";"66851";"Mittelbrunn";"06371/27588008";"";"";"siegrid1904@net-mail.none";"";"03.12.1912"
"918";"Herr";"";"Egbert";"Nielsen";"";"Emilienstraße";"171";"25821";"Vollstedt";"04671/1290349";"0153/9943048";"";"e-60@spam-mail.none";"";"23.10.2003"
"919";"Herr";"";"Rupertus";"Lohmeyer";"";"Hainweg";"83";"71636";"Ludwigsburg";"07141/26278577";"0173/3748867";"";"rupertuslohmeyer@net-mail.none";"";"23.04.1972"
"920";"Frau";"";"Janette";"Lopez";"";"Johann-von-der-Recke-Straße";"23";"63791";"Karlstein am Main";"";"0173/6590959";"";"janette.09@trashmail.none";"";"04.05.1953"
"921";"Herr";"";"Heinzjörg";"Hamberger";"";"Melatenweg";"107";"31582";"Kattriede";"05021/61750449";"0177/8454774";"05021/84285036";"heinzjoerg_47@domain.none";"";"22.09.1979"
"922";"k.A.";"";"Bianca";"Buck";"";"Flachsstraße";"50";"50935";"Köln";"0221/44103826";"0161/8433718";"";"bianca-10@retromail.none";"nein";"27.12.1951"
"923";"Herr";"";"Danny";"Malz";"";"An der Lehmkuhle";"169 b";"72406";"Bisingen";"07476/22435463";"0164/8882710";"07476/24422669";"";"";"24.06.2010"
"924";"Herr";"";"Germo";"Preuß";"";"Rosentalstraße";"61";"79341";"Kenzingen";"07644/87605725";"0162/6443866";"";"germo-07@kitty.none";"";"17.02.2018"
"925";"k.A.";"";"Isgard";"Schwald";"";"Angermunder Straße";"82 b";"52351";"Düren";"02421/27104639";"0176/9963179";"";"isgardschwald@xyz.none";"ja";"13.06.1985"
"926";"Frau";"";"Loreliese";"Steininger";"";"Brunnengasse";"183";"55585";"Oberhausen an der Nahe";"";"0176/3211965";"";"l_steininger@validmail.none";"";"16.04.1989"
"927";"Frau";"";"Adina";"Rolf";"31.07.1911";"Neue Hoffnung";"157 c";"25917";"Enge-Sande";"04662/8130051";"";"";"a.rolf@validmail.none";"";"29.03.1949"
"928";"Herr";"";"Ornulf";"Ullmann";"";"Im Klos";"83";"92676";"Eschenbach";"09645/50358656";"0159/7689719";"";"o-ullmann@justmail.none";"";"15.12.1975"
"929";"Herr";"";"Timm";"Nilles";"";"Valleystraße";"153a";"34308";"Bad Emstal";"05624/29478184";"0165/8216248";"";"timm_nilles@domain.none";"";"13.09.1983"
"930";"Herr";"";"Eckfried";"Schremmer";"";"Haselstiege";"173";"31632";"Husum";"05025/84247006";"0173/6613650";"";"eckfriedschremmer@hoster.none";"";"25.01.1985"
"931";"Frau";"";"Nortrud";"Haake";"";"Im Hof";"10";"87547";"Missen-Wilhams";"08320/23630265";"";"";"nortrud-15@email.none";"";"20.10.2022"
"932";"k.A.";"";"Annekathrin";"Asche";"";"Lange Gasse";"182";"56076";"Koblenz am Rhein";"0261/21245864";"0157/6970327";"";"annekathrin-asche@live-mail.none";"";"19.05.1956"
"933";"Frau";"";"Ilsabe";"Düsterhöft";"13.01.1912";"Auf Kerbel";"118";"24351";"Thumby";"04352/88213526";"0161/2717784";"";"ilsabeduesterhoeft@validmail.none";"";"28.03.1957"
"934";"Herr";"";"Roger";"Exner";"";"Hauffstraße";"146";"54636";"Meckel";"06561/80658192";"0164/8500552";"06561/65641837";"rogerexner@goggle-mail.none";"";"13.09.2022"
"935";"Herr";"";"Yannik";"Schnitker";"";"Karlstraße";"24 b";"54316";"Pluwig";"";"0153/3450608";"";"";"nein";"02.06.2019"
"936";"Frau";"";"Eugenie";"Engelhart";"08.01.1925";"Roncallistraße";"195";"25563";"Hingstheide";"";"0161/7520784";"";"eugenie_engelhart@trashmail.none";"ja";"27.07.1994"
"937";"Herr";"";"Thaddäus";"Bersch";"";"Obere Halle";"74";"55494";"Mörschbach";"06764/91152739";"0160/9288955";"";"thaddaeus.bersch@spam-mail.none";"nein";"30.12.2014"
"938";"Herr";"";"Irminfried";"Stolzenburg";"14.06.1943";"An der Umflut";"173";"55481";"Schwarzen";"06763/84867601";"";"06763/32504081";"irminfried.43@validmail.none";"ja";"13.06.1984"
"939";"Frau";"";"Meike";"Goßmann";"";"In den Eichen";"23";"56329";"Sankt Goar";"06741/63684559";"0157/3395234";"";"";"ja";"21.02.1995"
"940";"Herr";"";"Xaver";"Eder";"";"Hufelandstraße";"195";"73272";"Neidlingen";"07023/71154822";"0160/6201049";"";"xavereder@validmail.none";"";"25.09.1983"
"941";"Herr";"";"Sigurd";"Feyerabend";"09.11.1990";"Kellereistraße";"71";"54689";"Irrhausen";"06550/77517924";"0152/4666959";"";"s_feyerabend@xyz.none";"";"02.06.2004"
"942";"Herr";"";"Sergius";"Brutto";"";"Unterer Hellenweg";"54c";"23843";"Neritz";"04531/56336393";"0154/4501278";"";"sergiusbrutto@anymail.none";"ja";"19.12.1994"
"943";"Frau";"Dr.";"Anneruth";"Krippner";"";"Eitorfer Straße";"190";"85080";"Gaimersheim";"";"";"";"anneruth_krippner@hoster.none";"";"16.08.2022"
"944";"Frau";"";"Anouk";"Rehberg";"";"Heldenwiese";"170";"57614";"Woldert";"02684/59456824";"0179/3049884";"";"anoukrehberg@live-mail.none";"";"22.11.2018"
"945";"Frau";"";"Kristina";"Röhrle";"19.09.1936";"Gotenring";"156";"17219";"Groß Flotow";"03962/50695561";"";"";"kristina.roehrle@trashmail.none";"";"07.07.1989"
"946";"Frau";"";"Leongard";"Kugel";"";"Brunnengasse";"198";"29690";"Buchholz";"05071/96611042";"0177/2514428";"";"l-kugel@funmail.none";"";"07.07.2017"
"947";"Herr";"";"Haug";"Asam";"18.10.1965";"Nikolaus-Ehlen-Straße";"163";"44229";"Dortmund";"0231/26364400";"";"";"";"";"06.10.1988"
"948";"Frau";"";"Dorette";"Fiedler";"";"Andréestraße";"5";"67724";"Gonbach";"06302/63275097";"0166/4701825";"";"";"";"07.09.2022"
"949";"Frau";"";"Emmy";"Barnett";"18.04.1936";"Auf der Gasse";"145";"56584";"Thalhausen";"";"0160/9698694";"";"emmy_barnett@web.none";"";"27.08.1959"
"950";"Herr";"";"Hubertus";"Aulbach";"13.02.1953";"Am Thekbusch";"200";"55627";"Martinstein";"06754/19637319";"0170/2769592";"";"hubertusaulbach@retromail.none";"ja";"02.08.2003"
"951";"Herr";"";"Heinzfried";"Poll";"";"Sonnenstraße";"121";"23719";"Glasau";"";"0156/2687981";"";"heinzfried.1936@web.none";"";"10.01.1978"
"952";"Frau";"";"Hannelie";"Adler";"";"Barbaraweg";"174";"38120";"Braunschweig";"0531/87330385";"0170/6580039";"";"hannelie_adler@spam-mail.none";"ja";"26.10.2008"
"953";"Frau";"";"Lottemaria";"Vorndran";"";"Borkener Straße";"199";"25436";"Neuendeich";"04122/57928375";"";"04122/83418447";"lottemaria.vorndran@open-mail.none";"ja";"07.10.2004"
"954";"Frau";"";"Dorkas";"Habermehl";"";"Vitustor";"179";"54539";"Ürzig";"06532/21235886";"";"";"dorkas-habermehl@trashmail.none";"";"08.05.2014"
"955";"Frau";"";"Ellengard";"Russell";"09.07.1957";"Arweg";"149";"38315";"Hornburg";"05335/25877162";"0179/4889154";"";"";"";"28.12.1971"
"956";"Frau";"";"Swenja";"Böge";"";"In der Postheck";"103";"57632";"Flammersfeld";"02685/69683894";"0168/2457000";"";"swenjaboege@justmail.none";"ja";"20.02.1986"
"957";"Frau";"";"Marielene";"Herbert";"";"Lippweg";"95";"10625";"Berlin";"030/3680704";"";"";"";"";"01.04.1998"
"958";"Herr";"";"Markward";"Christians";"";"Ammerländer Heerstraße";"4";"99423";"Weimar";"03643/37747310";"0173/3062887";"";"markward-christians@anymail.none";"";"08.12.1979"
"959";"Frau";"";"Hilde";"Simonis";"";"Pellenzstraße";"94";"48599";"Gronau";"02562/60792294";"0179/8811699";"";"";"ja";"14.11.1928"
"960";"Herr";"";"Maic";"Cannon";"";"Im Kortenthal";"200";"79848";"Bonndorf";"07703/42743767";"";"";"maic.cannon@anymail.none";"nein";"10.03.1983"
"961";"Frau";"";"Hildburg";"Lind";"20.12.2013";"Hermannstraße";"191";"73579";"Schechingen";"07175/59624571";"0179/5976603";"";"hildburg-lind@quickmail.none";"nein";"11.10.2021"
"962";"k.A.";"";"Pascal";"Schlaak";"";"Sürther Hauptstraße";"81";"74392";"Freudental";"07143/89647132";"";"";"pascal_schlaak@retromail.none";"";"11.12.1991"
"963";"Herr";"";"Franzl";"Wefers";"25.05.1965";"Ebertstraße";"184";"25842";"Lütjenholm";"";"";"";"franzl-65@company.none";"";"13.11.1986"
"964";"Herr";"";"Wilmar";"Schwertfeger";"";"Neufelder Weg";"160";"77716";"Hofstetten";"07832/55083757";"";"";"w-schwertfeger@email.none";"ja";"02.08.2010"
"965";"Herr";"";"Hansjörn";"Kaps";"";"Eckerstraße";"194";"57629";"Norken";"02661/43024890";"0176/6527468";"";"hansjoern.kaps@xyz.none";"ja";"20.01.2008"
"966";"Frau";"";"Lilia";"Boecker";"";"Nordtor";"193";"42897";"Remscheid";"02191/27446298";"0165/8322577";"";"lilia.32@web.none";"";"28.06.2016"
"967";"Herr";"";"Nikodem";"Heuser";"06.08.1962";"Albert-Schweitzer-Weg";"128";"42499";"Hückeswagen";"";"";"02192/51903503";"n.heuser@company.none";"";"23.11.1993"
"968";"Frau";"";"Else";"Unger";"";"Scheddebrock";"175";"54290";"Trier";"0651/78064715";"0166/7006979";"";"e1995@justmail.none";"";"29.09.2014"
"969";"k.A.";"";"Leonie";"Irle";"";"Rankenstraße";"7";"72141";"Walddorfhäslach";"";"0152/2023129";"";"leonie1954@private.none";"nein";"16.04.1995"
"970";"Herr";"";"Volkmar";"Gaspar";"";"Bremsheide";"87";"31535";"Neustadt am Rübenberge";"05032/30658985";"0150/1287265";"";"vgaspar@kitty.none";"ja";"29.11.1982"
"971";"Frau";"";"Traude";"Bialek";"";"Schraberg";"94";"67808";"Ruppertsecken";"";"0167/1976165";"";"traudebialek@trashmail.none";"";"06.09.1942"
"972";"Herr";"";"Florentius";"Oestreich";"18.04.2017";"Spichernstraße";"126c";"84428";"Buchbach";"08086/11343367";"0173/7949134";"";"f.oestreich@spam-mail.none";"";"17.08.2018"
"973";"Frau";"";"Rhiane";"Fritze";"";"Dronkestraße";"62c";"91583";"Schillingsfürst";"09868/72350401";"0167/8164382";"";"rhianefritze@hoster.none";"ja";"04.05.1937"
"974";"Herr";"Prof. Dr.";"Aaron";"Stolle";"";"Bogtergärten";"6";"79736";"Rickenbach";"07765/22051023";"0153/3535767";"";"aaronstolle@web.none";"ja";"30.07.2012"
"975";"Herr";"";"Mats";"Boysen";"";"Im Dorfe";"123";"54318";"Mertesdorf";"";"0170/9194408";"";"mats_boysen@inter-mail.none";"";"19.11.1969"
"976";"Herr";"";"Burghard";"Geßler";"";"Im Leierling";"97";"35753";"Greifenstein";"06478/99840466";"0163/1209967";"";"burghard-gessler@inter-mail.none";"";"15.10.1977"
"977";"Frau";"";"Eunike";"Möhlmann";"";"Kaisersescher Straße";"186";"31628";"Landesbergen";"05025/21606018";"0171/9114294";"";"eunike_1949@live-mail.none";"nein";"23.04.1970"
"978";"Herr";"";"Germar";"Bange";"";"Baumschulstraße";"77";"60487";"Frankfurt am Main";"";"0162/7710170";"";"";"ja";"26.08.2020"
"979";"Frau";"";"Mathilda";"Zacher";"";"Sachsenstraße";"69";"71729";"Erdmannhausen";"07144/34271738";"0155/4459371";"";"mathilda-zacher@validmail.none";"nein";"05.03.1983"
"980";"Frau";"";"Margund";"Junghanns";"02.09.1967";"Brenker Weg";"180";"54597";"Rommersheim";"06551/77341176";"0167/1407819";"";"margund_junghanns@web.none";"";"12.05.1999"
"981";"Herr";"Dr.";"Vinzent";"Grub";"";"Frohnhauser Straße";"10";"66869";"Ruthweiler";"";"";"";"";"";"31.03.1977"
"982";"Herr";"";"Eik";"Knobloch";"06.08.1944";"Rehweg";"107";"71334";"Waiblingen";"07151/23285511";"0174/5489699";"";"";"";"02.10.2020"
"983";"k.A.";"";"Florine";"Reichstein";"";"Bernhardstraße";"172";"24619";"Bornhöved";"";"0169/5037982";"";"";"";"29.03.1990"
"984";"Frau";"";"Burglinde";"Gleichmann";"";"Thomas-Mann-Straße";"55";"25869";"Gröde";"";"";"";"";"";"18.10.2005"
"985";"Herr";"";"Collin";"Dangel";"";"Hobener Weg";"116";"21423";"Winsen";"05143/5622827";"";"05143/47228254";"collin_dangel@domain.none";"ja";"26.06.2015"
"986";"Herr";"";"Siegmund";"Schnieder";"";"Espelsweg";"181";"92670";"Windischeschenbach";"09681/37020790";"";"";"siegmund-schnieder@inter-mail.none";"ja";"19.11.1984"
"987";"Herr";"";"Hartwig";"Höh";"";"Lürmannstraße";"34 c";"73466";"Lauchheim";"07363/55306701";"0159/9037503";"";"hartwighoeh@live-mail.none";"";"22.12.1969"
"988";"Frau";"";"Donate";"Kirstein";"24.04.1934";"Im Rosental";"18";"70327";"Stuttgart";"0711/23103837";"0175/8469720";"";"donate_kirstein@goggle-mail.none";"";"29.06.1967"
"989";"Herr";"";"Clemens";"Melcher";"06.12.1918";"Matzgrabenweg";"134";"31613";"Wietzen";"05022/49248236";"0165/7889163";"";"cmelcher@spam-mail.none";"";"09.11.1984"
"990";"Frau";"";"Hildegard";"Gille";"";"Obere Ackerstraße";"1";"27243";"Winkelsett";"04244/90117340";"0153/5187560";"";"hildegard-gille@anymail.none";"";"03.04.1987"
"991";"Herr";"";"Neidhard";"Hamberger";"";"Mittelstraße";"70";"24986";"Rüde";"";"0179/7016461";"";"";"";"01.06.2007"
"992";"Herr";"";"Ulf";"Karpinski";"";"Immermannstraße";"69";"84088";"Neufahrn";"08773/29429431";"0173/4313660";"";"";"";"01.02.1983"
"993";"Herr";"";"Lois";"Gast";"";"In der Loh";"92";"85084";"Reichertshofen";"";"0169/7147904";"";"l.93@xyz.none";"";"14.09.1995"
"994";"Herr";"";"Antonius";"Erickson";"";"Deisenhofener Straße";"135";"24616";"Sarlhusen";"04822/162164";"";"";"antonius.erickson@xyz.none";"";"02.01.2011"
"995";"Frau";"";"Gotelind";"Sitter";"";"Roxeler Straße";"156";"25596";"Gribbohm";"04892/74479966";"0159/3843118";"";"";"nein";"31.12.1921"
"996";"Herr";"";"Bernt";"Hoeft";"16.03.1958";"Holschbacher Straße";"125 b";"38170";"Uehrde";"05332/63627352";"0160/8035378";"";"bernt-hoeft@live-mail.none";"";"01.09.1963"
"997";"Herr";"";"Tobias";"Diedrichs";"10.12.1932";"Rauenberg";"7";"16244";"Finowfurt";"03335/96367454";"0176/4416946";"";"tobias_diedrichs@justmail.none";"";"03.05.1971"
"998";"Herr";"";"Luc";"Hoh";"";"An der Hofwiese";"136";"56340";"Dachsenhausen";"06776/87951125";"0153/3033426";"";"luc.hoh@trashmail.none";"ja";"13.10.2013"
"999";"k.A.";"";"Thies";"Geßler";"";"Auf dem Bruch";"127";"78266";"Büsingen am Hochrhein";"07734/97535696";"0170/1757443";"";"thies_1982@live-mail.none";"ja";"03.02.1994"
"1000";"Frau";"";"Betty";"Münzer";"";"Leerer Straße";"129";"96166";"Kirchlauter";"";"0154/1666840";"09536/46184711";"";"";"10.11.1953"
